"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q1","All NACE economic sectors","All employees","Euro","704.6"
"Average Weekly Earnings","2008Q1","All NACE economic sectors","Managers, professionals and associated professionals","Euro","1115.99"
"Average Weekly Earnings","2008Q1","All NACE economic sectors","Clerical, sales and service employees","Euro","497.47"
"Average Weekly Earnings","2008Q1","All NACE economic sectors","Production, transport, craft and other manual workers","Euro","547.28"
"Average Weekly Earnings","2008Q1","Mining and quarrying (B)","All employees","Euro","907.92"
"Average Weekly Earnings","2008Q1","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro","1306.39"
"Average Weekly Earnings","2008Q1","Mining and quarrying (B)","Clerical, sales and service employees","Euro","700.92"
"Average Weekly Earnings","2008Q1","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro","832.7"
"Average Weekly Earnings","2008Q1","Manufacturing (C)","All employees","Euro","772.8"
"Average Weekly Earnings","2008Q1","Manufacturing (C)","Managers, professionals and associated professionals","Euro","1247.32"
"Average Weekly Earnings","2008Q1","Manufacturing (C)","Clerical, sales and service employees","Euro","745.16"
"Average Weekly Earnings","2008Q1","Manufacturing (C)","Production, transport, craft and other manual workers","Euro","606.63"
"Average Weekly Earnings","2008Q1","Construction (F)","All employees","Euro","721.56"
"Average Weekly Earnings","2008Q1","Construction (F)","Managers, professionals and associated professionals","Euro","1157.95"
"Average Weekly Earnings","2008Q1","Construction (F)","Clerical, sales and service employees","Euro","560.85"
"Average Weekly Earnings","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Euro","647.48"
"Average Weekly Earnings","2008Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","507.1"
"Average Weekly Earnings","2008Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro","1030.28"
"Average Weekly Earnings","2008Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro","394.01"
"Average Weekly Earnings","2008Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro","447.06"
"Average Weekly Earnings","2008Q1","Transportation and storage (H)","All employees","Euro","751.88"
"Average Weekly Earnings","2008Q1","Transportation and storage (H)","Managers, professionals and associated professionals","Euro","1410.69"
"Average Weekly Earnings","2008Q1","Transportation and storage (H)","Clerical, sales and service employees","Euro","640.86"
"Average Weekly Earnings","2008Q1","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro","700.46"
"Average Weekly Earnings","2008Q1","Accommodation and food service activities (I)","All employees","Euro","347.53"
"Average Weekly Earnings","2008Q1","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro","691.95"
"Average Weekly Earnings","2008Q1","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro","297.15"
